,Sport,Age,Height,Weight
0,Alpine Skiing,22.33460859329017,167.22100075815013,62.640307101727444
2,Archery,26.508457711442787,167.1664829106946,62.01357466063349
4,Athletics,24.933574255721908,169.28571428571428,60.2397982368445
5,Badminton,25.0472972972973,168.43851851851852,61.586363636363636
6,Basketball,25.51751592356688,182.45483613109513,73.68516984258493
7,Beach Volleyball,28.315217391304348,178.86666666666667,68.35094339622641
8,Biathlon,25.799248523886206,166.54054054054055,57.3065855008301
9,Bobsleigh,27.832167832167833,173.1818181818182,72.8041958041958
10,Boxing,26.63888888888889,168.8,61.83606557377049
11,Canoeing,25.33744557329463,169.62899454403743,64.87890625
13,Cross Country Skiing,25.655243722304284,166.6508191455188,57.48801813471503
14,Curling,29.972972972972972,167.52036199095022,62.88834951456311
15,Cycling,26.899569583931132,168.01862891207153,59.770553064275035
16,Diving,21.517676767676768,161.1736040609137,53.56656346749226
17,Equestrianism,34.217845659163984,167.8757549611734,58.601908065915005
18,Fencing,26.34110491637101,168.95429208472686,60.65614430665163
19,Figure Skating,20.81255374032674,160.61084905660377,49.86103896103896
20,Football,24.90909090909091,167.6761421319797,60.925813008130085
21,Freestyle Skiing,24.330254041570438,164.77726218097447,58.35245901639344
22,Golf,27.33823529411765,168.73333333333332,63.43636363636364
23,Gymnastics,19.232750995134896,156.14332460732984,47.791276230698166
24,Handball,25.88392213410238,174.84027777777777,68.87685113016367
25,Hockey,25.33241946538725,166.1252669039146,60.53093525179856
26,Ice Hockey,24.05570291777188,168.20954907161803,65.71286472148542
27,Judo,25.163769441903018,166.267,67.06716417910448
28,Luge,23.649867374005304,169.06552706552708,66.90883190883191
29,Modern Pentathlon,25.524390243902438,170.0731707317073,58.3109756097561
31,Rhythmic Gymnastics,18.737082066869302,167.87025316455697,48.760975609756095
32,Rowing,25.40264477884177,176.77107866227038,70.10221384832784
33,Rugby Sevens,26.114864864864863,167.63698630136986,66.62837837837837
34,Sailing,26.69837837837838,169.5108077360637,62.77726750861079
35,Shooting,29.11904761904762,164.93293413173652,61.14324324324324
36,Short Track Speed Skating,22.462549277266753,164.53044654939106,57.123139377537214
37,Skeleton,27.560606060606062,167.92307692307693,61.0
38,Ski Jumping,21.266666666666666,164.6,52.61538461538461
39,Snowboarding,24.723557692307693,166.29807692307693,60.44417475728155
40,Softball,26.299163179916317,169.39508928571428,67.47165532879819
41,Speed Skating,23.7462758289284,167.4207037225905,62.01004636785162
42,Swimming,19.487450056346685,171.4687354176388,61.48274843436134
43,Synchronized Swimming,22.36685082872928,168.4814814814815,55.86352941176471
44,Table Tennis,25.66596417281349,165.06496519721577,58.02777777777778
45,Taekwondo,23.40802675585284,170.81164383561645,61.13682432432432
46,Tennis,24.77545691906005,172.33573635427393,62.094398340248965
47,Trampolining,25.539473684210527,161.73333333333332,52.89333333333333
48,Triathlon,27.923954372623573,166.99618320610688,54.724137931034484
49,Volleyball,24.431626701231366,179.49498327759198,69.33377926421404
50,Water Polo,25.16188524590164,175.56352459016392,70.18032786885246
51,Weightlifting,24.028077753779698,160.4673913043478,67.72462203023758
52,Wrestling,25.30592105263158,163.86513157894737,60.554455445544555
