,Year,Season,Nums
49,2016,Summer,555
48,2014,Winter,222
47,2012,Summer,529
46,2010,Winter,212
45,2008,Summer,588
44,2006,Winter,204
43,2004,Summer,533
42,2002,Winter,202
41,2000,Summer,586
40,1998,Winter,186
39,1996,Summer,648
38,1994,Winter,148
37,1992,Winter,148
36,1992,Summer,545
35,1988,Winter,117
34,1988,Summer,527
33,1984,Winter,107
32,1984,Summer,522
31,1980,Winter,101
30,1976,Winter,106
29,1976,Summer,396
28,1972,Winter,103
27,1972,Summer,400
26,1968,Winter,96
25,1968,Summer,357
24,1964,Winter,90
23,1964,Summer,346
22,1960,Winter,79
21,1960,Summer,292
20,1956,Winter,67
19,1956,Summer,305
18,1952,Winter,66
17,1952,Summer,286
16,1948,Winter,69
15,1948,Summer,300
13,1936,Summer,359
14,1936,Winter,55
12,1932,Winter,64
11,1932,Summer,474
10,1928,Winter,24
9,1928,Summer,280
8,1924,Winter,24
7,1924,Summer,299
6,1920,Summer,288
5,1912,Summer,174
4,1908,Summer,122
3,1906,Summer,38
2,1904,Summer,524
1,1900,Summer,75
0,1896,Summer,14
