年份, 世界GDP年增长率(%), 世界总失业率(%), 中国GDP年增长率(%), 中国总失业率(%), 
2016,2.51,5.54,6.7,4.65, 
2015,2.86,5.45,6.9,4.61, 
2014,2.86,5.44,7.3,4.59, 
2013,2.61,5.58,7.76,4.54, 
2012,2.51,5.61,7.86,4.47, 
2011,3.18,5.61,9.54,4.34, 
2010,4.31,5.78,10.64,4.2, 
2009,-1.73,5.94,9.4,4.29, 
2008,1.82,5.53,9.65,4.36, 
2007,4.23,5.32,14.23,3.76, 
2006,4.31,5.6,12.72,4, 
2005,3.83,5.91,11.4,4.14, 
2004,4.45,6.05,10.11,4.3, 
2003,2.91,6.19,10.04,4.3, 
2002,2.16,6.23,9.13,4.41, 
2001,1.91,6.16,8.34,4.53, 
2000,4.39,6.32,8.49,4.53, 
