年份, 世界GDP年增长率(%), 世界总失业率(%), 大韩民国GDP年增长率(%), 大韩民国总失业率(%), 
1996,3.39,6.01,7.59,2.05, 
1995,3.03,5.92,9.57,2.06, 
1994,3.02,5.91,9.21,2.48, 
1993,1.56,5.71,6.85,2.88, 
1992,1.79,5.64,6.18,2.51, 
1991,1.45,5.82,10.35,2.41, 
1990,2.92, --,9.81,2.5, 
1989,3.69, --,7.03,2.6, 
1988,4.61, --,11.9,2.5, 
1987,3.64, --,12.47,3.1, 
1986,3.36, --,11.22,3.8, 
1985,3.74, --,7.75,4, 
1984,4.52, --,10.44,3.8, 
1983,2.44, --,13.24,4.1, 
1982,0.38, --,8.27,4.4, 
1981,1.93, --,7.18,4.5, 
1980,1.88, --,-1.7,5.2, 
