年份, 世界GDP年增长率(%), 世界总失业率(%), 美国GDP年增长率(%), 美国总失业率(%), 
2004,4.45,6.05,3.79,5.53, 
2003,2.91,6.19,2.81,5.99, 
2002,2.16,6.23,1.79,5.78, 
2001,1.91,6.16,0.98,4.73, 
2000,4.39,6.32,4.09,3.99, 
1999,3.26,6.37,4.69,4.22, 
1998,2.53,6.29,4.45,4.51, 
1997,3.7,6.1,4.49,4.94, 
1996,3.39,6.01,3.8,5.4, 
1995,3.03,5.92,2.72,5.6, 
1994,3.02,5.91,4.04,6.1, 
1993,1.56,5.71,2.75,6.92, 
1992,1.79,5.64,3.56,7.5, 
1991,1.45,5.82,-0.07,6.83, 
1990,2.92, --,1.92,5.6, 
1989,3.69, --,3.68,5.3, 
1988,4.61, --,4.2,5.5, 
