年份, 世界GDP年增长率(%), 世界总失业率(%), 西班牙GDP年增长率(%), 西班牙总失业率(%), 
2000,4.39,6.32,5.29,13.79, 
1999,3.26,6.37,4.48,15.48, 
1998,2.53,6.29,4.31,18.67, 
1997,3.7,6.1,3.69,20.7, 
1996,3.39,6.01,2.67,22.14, 
1995,3.03,5.92,2.76,22.67, 
1994,3.02,5.91,2.38,24.21, 
1993,1.56,5.71,-1.03,22.16, 
1992,1.79,5.64,0.93,17.7, 
1991,1.45,5.82,2.55,15.93, 
1990,2.92, --,3.78,16, 
1989,3.69, --,4.83,17, 
1988,4.61, --,5.09,18.9, 
1987,3.64, --,5.55,19.9, 
1986,3.36, --,3.25,20.6, 
1985,3.74, --,2.32,21, 
1984,4.52, --,1.78,19.6, 
