国民经济_地区生产总值_地区生产总值(2006-2010)_宏观数据_新浪财经

统计年度, 地区, 地区生产总值(亿元), 人均地区生产总值(元), 第一产业(亿元), 第二产业(亿元), 其中：工业(亿元), 建筑业(亿元), 第三产业(亿元), 其中：农林牧渔服务业(亿元), 地质勘查业水利管理业(亿元), 交通运输、仓储和邮政业(亿元), 批发和零售业(亿元), 批发零售贸易及餐饮业(亿元), 住宿和餐饮业(亿元), 金融业(亿元), 金融、保险业(亿元), 房地产业(亿元), 社会服务业(亿元), 卫生体育和社会福利业(亿元), 教育、文化艺术及广播电影电视业(亿元), 科学研究和综合技术服务事业(亿元), 国家机关、政党机关和社会团体(亿元), 其他服务业(亿元), 第一产业构成比例(亿元), 第二产业构成比例(亿元), 第三产业构成比例(亿元), 地区生产总值指数, 第一产业指数, 第二产业指数, 第三产业指数, 
2010, 河北, 20394.26, 28668.00, 2562.81, 10707.68, 9554.03, 1153.65, 7123.77, , , 1745.91, 1529.26, , 265.02, 615.42, , 697.79, , , , , , 2270.37, 12.60, 52.50, 34.90, 112.20, 103.50, 113.40, 113.10, 
2010, 天津, 9224.46, 72994.00, 145.58, 4840.23, 4410.85, 429.38, 4238.65, , , 585.37, 1090.68, , 157.66, 572.99, , 377.59, , , , , , 1454.36, 1.60, 52.50, 46.00, 117.40, 103.30, 120.20, 114.20, 
2010, 北京, 14113.58, 73856.00, 124.36, 3388.38, 2763.99, 624.39, 10600.84, , , 712.01, 1888.51, , 317.34, 1863.61, , 1006.52, , , , , , 4812.85, 0.90, 24.00, 75.10, 110.30, 98.40, 113.70, 109.30, 
2009, 河北, 17235.48, 24581.00, 2207.34, 8959.83, 7983.86, 975.97, 6068.31, , , 1491.92, 1157.80, , 247.14, 525.67, , 612.40, , , , , , 2033.38, 12.80, 52.00, 35.20, 110.00, 103.30, 110.50, 111.40, 
2009, 天津, 7521.85, 62574.00, 128.85, 3987.84, 3622.11, 365.73, 3405.16, , , 471.01, 836.84, , 131.84, 461.20, , 308.73, , , , , , 1195.54, 1.70, 53.00, 45.30, 116.50, 103.40, 118.00, 115.20, 
2009, 北京, 12153.03, 66940.00, 118.29, 2855.55, 2303.08, 552.47, 9179.19, , , 556.64, 1525.03, , 262.51, 1603.63, , 1062.47, , , , , , 4168.91, 1.00, 23.50, 75.50, 110.20, 104.60, 110.40, 110.20, 
2008, 河北, 16012.00, 22986.00, 2034.60, 8777.42, 7967.62, 809.80, 5376.59, , , 1281.30, 844.94, , 147.82, 419.01, , 435.87, , , , , , 2247.68, 12.60, 54.20, 33.20, 110.10, 104.90, 110.50, 111.10, 
2008, 天津, 6719.01, 58656.00, 122.58, 3821.07, 3533.86, 287.21, 2410.73, , , 320.60, 604.60, , 106.09, 360.55, , 202.38, , , , , , 816.44, 1.90, 60.10, 37.90, 116.50, 103.10, 118.20, 114.70, 
2008, 北京, 11115.00, 66797.00, 112.83, 2693.15, 2198.49, 494.66, 7682.07, , , 505.74, 1060.92, , 277.52, 1493.58, , 610.84, , , , , , 3733.47, 1.10, 25.70, 73.20, 109.10, 101.10, 102.40, 111.70, 
2007, 河北, 13709.50, 19877.00, 1804.72, 7241.80, 6555.24, 686.56, 4662.98, , , 1161.63, 714.84, , 132.55, 353.22, , 409.64, , , , , , 1891.10, 13.20, 52.80, 34.00, 112.80, 104.00, 114.10, 114.10, 
2007, 天津, 5252.76, 47970.00, 110.19, 2892.53, 2661.87, 230.66, 2047.68, , , 294.06, 498.61, , 92.61, 288.17, , 189.42, , , , , , 684.81, 2.20, 57.30, 40.50, 115.50, 101.40, 116.50, 114.30, 
2007, 北京, 9846.81, 61274.00, 101.26, 2509.40, 2082.76, 426.64, 6742.66, , , 502.61, 879.42, , 247.01, 1286.28, , 644.24, , , , , , 3183.10, 1.10, 26.80, 72.10, 114.50, 102.20, 112.70, 113.80, 
2006, 河北, 11515.76, 16682.00, 1606.48, 6115.01, 5490.54, 624.47, 3938.94, , , 971.50, 661.21, , 121.96, 279.72, , 354.60, , , , , , 1549.95, 13.80, 52.40, 33.80, 113.40, 105.00, 115.10, 114.30, 
2006, 天津, 4462.74, 41163.00, 118.23, 2488.29, 2292.73, 195.56, 1752.63, , , 252.86, 468.12, , 79.41, 186.87, , 160.72, , , , , , 604.65, 2.70, 57.10, 40.20, 114.50, 103.30, 117.70, 111.10, 
2006, 北京, 8117.78, 50467.00, 98.04, 2191.43, 1821.86, 369.57, 5580.81, , , 458.29, 751.91, , 219.61, 974.06, , 559.82, , , , , , 2617.12, 1.30, 27.80, 70.90, 112.80, 100.60, 110.50, 114.10, 
